# Angle	O-O-O	O-Si-O	Si-O-Si	Si-Si-Si
86.06	0.00419	0.00021	0.00004	0.01383
86.29	0.00412	0.00022	0.00003	0.01360
86.51	0.00426	0.00017	0.00003	0.01370
86.74	0.00420	0.00021	0.00006	0.01427
86.96	0.00430	0.00017	0.00012	0.01456
87.19	0.00424	0.00025	0.00007	0.01457
87.41	0.00413	0.00019	0.00006	0.01546
87.64	0.00426	0.00015	0.00008	0.01535
87.86	0.00424	0.00014	0.00014	0.01547
88.09	0.00422	0.00018	0.00008	0.01584
88.31	0.00428	0.00015	0.00007	0.01558
88.54	0.00427	0.00016	0.00004	0.01587
88.76	0.00432	0.00011	0.00021	0.01575
88.99	0.00441	0.00008	0.00008	0.01671
89.21	0.00446	0.00015	0.00018	0.01635
89.44	0.00441	0.00008	0.00024	0.01660
89.66	0.00439	0.00007	0.00025	0.01694
89.89	0.00442	0.00008	0.00017	0.01744
90.11	0.00455	0.00009	0.00035	0.01700
90.34	0.00447	0.00008	0.00032	0.01709
90.56	0.00446	0.00011	0.00022	0.01755
90.79	0.00446	0.00012	0.00033	0.01741
91.01	0.00445	0.00008	0.00048	0.01748
91.24	0.00451	0.00011	0.00033	0.01753
91.46	0.00444	0.00015	0.00032	0.01775
91.69	0.00450	0.00011	0.00044	0.01733
91.91	0.00450	0.00015	0.00021	0.01784
92.14	0.00442	0.00018	0.00029	0.01840
92.36	0.00466	0.00015	0.00036	0.01766
92.59	0.00464	0.00022	0.00030	0.01823
92.81	0.00451	0.00029	0.00046	0.01795
93.04	0.00449	0.00031	0.00033	0.01842
93.26	0.00466	0.00031	0.00037	0.01828
93.49	0.00481	0.00048	0.00036	0.01797
93.71	0.00477	0.00062	0.00026	0.01798
93.94	0.00465	0.00053	0.00028	0.01835
94.16	0.00469	0.00064	0.00043	0.01807
94.39	0.00478	0.00083	0.00036	0.01778
94.61	0.00474	0.00102	0.00044	0.01801
94.84	0.00477	0.00104	0.00040	0.01809
95.06	0.00482	0.00136	0.00026	0.01898
95.29	0.00481	0.00139	0.00019	0.01851
95.51	0.00492	0.00169	0.00026	0.01868
95.74	0.00488	0.00193	0.00022	0.01857
95.96	0.00482	0.00201	0.00012	0.01829
96.19	0.00488	0.00248	0.00021	0.01879
96.41	0.00485	0.00281	0.00030	0.01838
96.64	0.00503	0.00336	0.00012	0.01955
96.86	0.00486	0.00354	0.00021	0.01869
97.09	0.00489	0.00418	0.00019	0.01916
97.31	0.00497	0.00488	0.00019	0.01923
97.54	0.00501	0.00524	0.00007	0.01962
97.76	0.00490	0.00589	0.00018	0.01857
97.99	0.00498	0.00640	0.00010	0.01930
98.21	0.00498	0.00734	0.00017	0.01930
98.44	0.00517	0.00845	0.00007	0.01946
98.66	0.00500	0.00898	0.00007	0.01861
98.89	0.00513	0.00990	0.00008	0.01931
99.11	0.00506	0.01120	0.00011	0.01963
99.34	0.00505	0.01220	0.00006	0.01919
99.56	0.00513	0.01361	0.00014	0.01919
99.79	0.00509	0.01482	0.00007	0.01987
100.01	0.00520	0.01625	0.00006	0.01967
100.24	0.00524	0.01734	0.00004	0.01979
100.46	0.00513	0.01937	0.00004	0.02039
100.69	0.00543	0.02143	0.00006	0.01970
100.91	0.00524	0.02264	0.00003	0.02058
101.14	0.00519	0.02437	0.00008	0.02017
101.36	0.00531	0.02635	0.00004	0.02036
101.59	0.00529	0.02788	0.00001	0.02040
101.81	0.00524	0.03021	0.00003	0.01982
102.04	0.00536	0.03263	0.00003	0.02007
102.26	0.00540	0.03428	0.00001	0.02127
102.49	0.00539	0.03574	0.00001	0.02069
102.71	0.00548	0.03832	0.00001	0.02039
102.94	0.00533	0.04046	0.00006	0.02112
103.16	0.00552	0.04253	0.00000	0.02065
103.39	0.00557	0.04562	0.00000	0.02073
103.61	0.00542	0.04683	0.00003	0.02130
103.84	0.00564	0.04817	0.00000	0.02076
104.06	0.00556	0.05077	0.00003	0.02103
104.29	0.00566	0.05214	0.00006	0.02114
104.51	0.00555	0.05478	0.00004	0.02116
104.74	0.00564	0.05627	0.00003	0.02147
104.96	0.00565	0.05866	0.00004	0.02078
105.19	0.00576	0.05972	0.00000	0.02127
105.41	0.00560	0.06101	0.00000	0.02111
105.64	0.00577	0.06409	0.00008	0.02162
105.86	0.00570	0.06490	0.00010	0.02167
106.09	0.00581	0.06654	0.00003	0.02161
106.31	0.00601	0.06849	0.00010	0.02181
106.54	0.00600	0.06907	0.00003	0.02119
106.76	0.00594	0.07010	0.00012	0.02136
106.99	0.00608	0.07052	0.00007	0.02111
107.21	0.00597	0.07286	0.00006	0.02115
107.44	0.00595	0.07210	0.00011	0.02175
107.66	0.00603	0.07354	0.00018	0.02166
107.89	0.00598	0.07300	0.00011	0.02093
108.11	0.00610	0.07322	0.00025	0.02174
108.34	0.00627	0.07415	0.00017	0.02106
108.56	0.00619	0.07337	0.00018	0.02122
108.79	0.00623	0.07302	0.00019	0.02176
109.01	0.00627	0.07326	0.00022	0.02113
109.24	0.00629	0.07252	0.00018	0.02143
109.46	0.00639	0.07276	0.00021	0.02137
109.69	0.00634	0.07316	0.00022	0.02155
109.91	0.00648	0.07176	0.00021	0.02116
110.14	0.00651	0.06943	0.00025	0.02094
110.36	0.00643	0.06974	0.00028	0.02091
110.59	0.00662	0.06889	0.00037	0.02049
110.81	0.00646	0.06878	0.00042	0.02107
111.04	0.00667	0.06641	0.00036	0.02129
111.26	0.00666	0.06495	0.00039	0.02067
111.49	0.00673	0.06322	0.00033	0.02098
111.71	0.00677	0.06185	0.00040	0.02093
111.94	0.00681	0.05976	0.00042	0.02049
112.16	0.00680	0.05799	0.00044	0.01961
112.39	0.00687	0.05749	0.00035	0.02041
112.61	0.00673	0.05525	0.00054	0.02067
112.84	0.00693	0.05320	0.00060	0.01997
113.06	0.00696	0.05165	0.00055	0.02027
113.29	0.00693	0.05200	0.00060	0.01971
113.51	0.00701	0.04859	0.00057	0.02003
113.74	0.00700	0.04674	0.00057	0.02005
113.96	0.00693	0.04519	0.00086	0.01976
114.19	0.00710	0.04344	0.00079	0.02019
114.41	0.00702	0.04156	0.00094	0.01925
114.64	0.00722	0.04012	0.00102	0.01936
114.86	0.00715	0.03794	0.00079	0.01939
115.09	0.00722	0.03717	0.00107	0.01906
115.31	0.00712	0.03515	0.00104	0.01908
115.54	0.00715	0.03430	0.00096	0.01913
115.76	0.00717	0.03215	0.00129	0.01844
115.99	0.00729	0.03029	0.00129	0.01865
116.21	0.00723	0.03028	0.00149	0.01838
116.44	0.00735	0.02822	0.00149	0.01828
116.66	0.00715	0.02721	0.00197	0.01847
116.89	0.00742	0.02555	0.00174	0.01749
117.11	0.00726	0.02445	0.00177	0.01797
117.34	0.00726	0.02219	0.00163	0.01764
117.56	0.00727	0.02166	0.00172	0.01779
117.79	0.00735	0.02055	0.00264	0.01735
118.01	0.00739	0.01952	0.00274	0.01724
118.24	0.00754	0.01843	0.00216	0.01716
118.46	0.00740	0.01699	0.00260	0.01744
118.69	0.00756	0.01661	0.00252	0.01657
118.91	0.00746	0.01617	0.00291	0.01655
119.14	0.00741	0.01435	0.00302	0.01630
119.36	0.00747	0.01390	0.00310	0.01582
119.59	0.00737	0.01330	0.00317	0.01640
119.81	0.00761	0.01234	0.00389	0.01585
120.04	0.00754	0.01176	0.00378	0.01591
120.26	0.00755	0.01053	0.00404	0.01588
120.49	0.00742	0.01007	0.00393	0.01519
120.71	0.00750	0.00969	0.00433	0.01514
120.94	0.00762	0.00896	0.00473	0.01501
121.16	0.00764	0.00846	0.00432	0.01540
121.39	0.00762	0.00773	0.00442	0.01520
121.61	0.00772	0.00714	0.00504	0.01512
121.84	0.00770	0.00715	0.00540	0.01445
122.06	0.00771	0.00617	0.00519	0.01406
122.29	0.00771	0.00601	0.00579	0.01414
122.51	0.00783	0.00585	0.00580	0.01430
122.74	0.00769	0.00529	0.00587	0.01431
122.96	0.00782	0.00510	0.00642	0.01421
123.19	0.00781	0.00471	0.00633	0.01379
123.41	0.00802	0.00414	0.00656	0.01374
123.64	0.00789	0.00398	0.00699	0.01362
123.86	0.00795	0.00402	0.00682	0.01359
124.09	0.00798	0.00343	0.00738	0.01288
124.31	0.00784	0.00324	0.00724	0.01309
124.54	0.00797	0.00286	0.00761	0.01339
124.76	0.00791	0.00275	0.00821	0.01305
124.99	0.00816	0.00270	0.00815	0.01269
125.21	0.00796	0.00268	0.00858	0.01239
125.44	0.00814	0.00227	0.00908	0.01225
125.66	0.00800	0.00224	0.00959	0.01235
125.89	0.00812	0.00197	0.00997	0.01230
126.11	0.00817	0.00168	0.00948	0.01173
126.34	0.00828	0.00168	0.01016	0.01185
126.56	0.00841	0.00158	0.01086	0.01171
126.79	0.00834	0.00138	0.01111	0.01168
127.01	0.00833	0.00129	0.01096	0.01138
127.24	0.00839	0.00124	0.01143	0.01189
127.46	0.00839	0.00124	0.01168	0.01120
127.69	0.00850	0.00113	0.01266	0.01089
127.91	0.00847	0.00087	0.01247	0.01109
128.14	0.00848	0.00087	0.01225	0.01101
128.36	0.00854	0.00088	0.01304	0.01080
128.59	0.00860	0.00083	0.01318	0.01059
128.81	0.00854	0.00084	0.01344	0.01055
129.04	0.00861	0.00078	0.01377	0.01039
129.26	0.00860	0.00070	0.01462	0.01003
129.49	0.00866	0.00064	0.01408	0.01009
129.71	0.00887	0.00051	0.01445	0.00988
129.94	0.00878	0.00052	0.01527	0.00951
