# r	O-Si	O-O	Si-Si	total
3.28125	1.06987	0.69983	0.74176	0.84631
3.29375	1.09626	0.68849	0.66373	0.84499
3.30625	1.12457	0.70173	0.56515	0.85631
3.31875	1.12902	0.68930	0.48996	0.84608
3.33125	1.13596	0.67004	0.46343	0.83648
3.34375	1.16745	0.67784	0.42301	0.85013
3.35625	1.17112	0.67889	0.38100	0.84921
3.36875	1.19065	0.67196	0.34393	0.85046
3.38125	1.21237	0.69214	0.34283	0.86976
3.39375	1.22938	0.68359	0.33604	0.87125
3.40625	1.25114	0.66871	0.31771	0.87034
3.41875	1.26528	0.67774	0.31994	0.88089
3.43125	1.26459	0.69531	0.30719	0.88927
3.44375	1.28277	0.68208	0.30876	0.88925
3.45625	1.28181	0.66611	0.32571	0.88139
3.46875	1.27539	0.65579	0.32541	0.87328
3.48125	1.32144	0.65228	0.32611	0.88928
3.49375	1.30982	0.64301	0.32613	0.87975
3.50625	1.31265	0.63535	0.32847	0.87685
3.51875	1.34728	0.63646	0.33770	0.89153
3.53125	1.32980	0.62344	0.34450	0.87815
3.54375	1.35179	0.61106	0.34925	0.88030
3.55625	1.34789	0.60241	0.33677	0.87322
3.56875	1.38014	0.60077	0.35561	0.88615
3.58125	1.36254	0.59291	0.38759	0.87728
3.59375	1.37525	0.58333	0.41087	0.87863
3.60625	1.37604	0.56246	0.43257	0.86911
3.61875	1.39763	0.56842	0.43739	0.88106
3.63125	1.40276	0.56273	0.44059	0.88019
3.64375	1.41557	0.56181	0.45761	0.88583
3.65625	1.39864	0.55277	0.48631	0.87635
3.66875	1.42970	0.55608	0.45899	0.88830
3.68125	1.43955	0.55449	0.50448	0.89442
3.69375	1.42795	0.52714	0.51757	0.87598
3.70625	1.46830	0.54034	0.55429	0.90134
3.71875	1.48573	0.53353	0.56536	0.90518
3.73125	1.48666	0.54436	0.57922	0.91238
3.74375	1.48055	0.53541	0.60192	0.90672
3.75625	1.51333	0.52989	0.59850	0.91621
3.76875	1.54082	0.54071	0.64033	0.93565
3.78125	1.51155	0.53156	0.66129	0.92079
3.79375	1.53785	0.52480	0.68878	0.92922
3.80625	1.58353	0.53449	0.71899	0.95430
3.81875	1.58686	0.53506	0.71598	0.95569
3.83125	1.57269	0.54969	0.72999	0.95911
3.84375	1.58774	0.54924	0.74851	0.96599
3.85625	1.59280	0.53592	0.75715	0.96132
3.86875	1.62735	0.54845	0.78780	0.98365
3.88125	1.60969	0.55103	0.79876	0.97896
3.89375	1.62730	0.55364	0.80875	0.98790
3.90625	1.62327	0.56056	0.84433	0.99256
3.91875	1.64283	0.55739	0.85734	0.99933
3.93125	1.67039	0.57436	0.88419	1.02109
3.94375	1.63312	0.56139	0.87965	0.99928
3.95625	1.65653	0.57641	0.88299	1.01674
3.96875	1.65202	0.58635	0.94211	1.02449
3.98125	1.66663	0.58681	0.93517	1.02993
3.99375	1.65429	0.60911	0.94036	1.03760
4.00625	1.65437	0.61283	0.98064	1.04245
4.01875	1.69203	0.62194	0.96695	1.06105
4.03125	1.66746	0.63389	0.98362	1.05916
4.04375	1.65848	0.62447	1.01608	1.05281
4.05625	1.65778	0.63306	1.00361	1.05634
4.06875	1.64286	0.64271	1.03230	1.05777
4.08125	1.65872	0.67537	1.02402	1.08108
4.09375	1.65758	0.66497	1.01607	1.07444
4.10625	1.64265	0.67718	1.06885	1.07894
4.11875	1.61479	0.68502	1.07371	1.07271
4.13125	1.57806	0.70119	1.06794	1.06684
4.14375	1.56665	0.72080	1.08057	1.07393
4.15625	1.54605	0.72328	1.08947	1.06790
4.16875	1.50466	0.73442	1.09048	1.05796
4.18125	1.46064	0.75660	1.12446	1.05527
4.19375	1.41502	0.77832	1.10264	1.04785
4.20625	1.39038	0.78925	1.13148	1.04622
4.21875	1.35899	0.81217	1.11858	1.04558
4.23125	1.31745	0.82691	1.12729	1.03806
4.24375	1.28028	0.83216	1.13906	1.02731
4.25625	1.23912	0.87047	1.15316	1.03311
4.26875	1.20348	0.86779	1.16595	1.01871
4.28125	1.15305	0.88801	1.15915	1.00964
4.29375	1.10752	0.90476	1.14486	1.00008
4.30625	1.09144	0.92328	1.14198	1.00369
4.31875	1.02482	0.94372	1.20579	0.99336
4.33125	1.00621	0.96712	1.16678	0.99613
4.34375	0.96904	0.98249	1.15140	0.98899
4.35625	0.93196	0.99836	1.18922	0.98584
4.36875	0.91169	1.01865	1.16441	0.98726
4.38125	0.87032	1.04156	1.14329	0.98217
4.39375	0.85308	1.06224	1.19359	0.99020
4.40625	0.82813	1.07450	1.20158	0.98772
4.41875	0.80333	1.11023	1.19290	0.99689
4.43125	0.77584	1.11174	1.18118	0.98623
4.44375	0.75750	1.13548	1.22323	0.99491
4.45625	0.72992	1.16780	1.19578	0.99985
4.46875	0.73010	1.17920	1.23274	1.00866
4.48125	0.72241	1.20431	1.19735	1.01686
4.49375	0.70721	1.21914	1.21501	1.02023
4.50625	0.69815	1.22951	1.19981	1.02129
